class,cap-shape,cap-surface,bruises,gill-spacing,gill-size
e,x,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,s,f,w,b
e,b,s,t,c,b
p,x,s,t,c,n
e,x,f,t,c,b
e,f,s,f,w,b
e,b,s,t,c,b
e,x,s,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,f,c,n
e,x,f,f,c,n
e,x,f,f,c,n
e,b,y,t,c,b
e,f,f,f,c,n
e,x,f,f,w,b
e,f,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
e,x,y,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,s,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,b,s,t,c,b
p,x,s,t,c,n
e,x,f,f,w,b
e,b,y,t,c,b
e,x,s,t,c,b
e,b,y,t,c,b
e,x,y,t,c,b
e,x,s,t,c,b
e,b,s,t,c,b
e,f,s,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,f,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
e,f,y,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
p,f,s,t,c,n
e,x,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,f,w,b
p,x,s,t,c,n
e,x,y,t,c,b
e,x,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
p,f,s,t,c,n
e,x,s,f,w,b
p,x,s,t,c,n
p,f,s,t,c,n
e,f,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
p,f,y,t,c,n
p,f,y,t,c,n
e,x,s,f,w,b
p,f,s,t,c,n
e,f,f,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
p,f,y,t,c,n
p,f,y,t,c,n
p,f,s,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
p,f,s,t,c,n
e,f,f,f,w,b
e,x,f,f,w,b
p,f,s,t,c,n
e,x,f,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
e,b,y,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
p,x,y,t,c,n
e,f,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
p,f,s,t,c,n
p,f,s,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
e,x,f,f,w,b
e,b,y,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,b,s,t,c,b
e,x,s,f,w,b
e,f,f,t,c,b
p,x,s,t,c,n
e,f,f,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,f,s,f,w,b
e,b,s,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,f,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
p,f,s,t,c,n
e,f,f,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,b,s,t,c,b
p,x,y,t,c,n
p,f,s,t,c,n
e,f,f,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
p,x,s,t,c,n
e,f,s,f,w,b
p,f,y,t,c,n
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
p,f,y,t,c,n
e,f,s,f,w,b
e,f,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
p,x,s,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,y,t,c,b
p,f,y,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
p,f,y,t,c,n
p,x,s,t,c,n
p,f,s,t,c,n
e,x,f,t,c,b
e,b,y,t,c,b
p,f,y,t,c,n
e,f,f,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
p,f,y,t,c,n
e,x,s,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
p,f,s,t,c,n
e,x,f,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
p,f,s,t,c,n
e,x,f,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
e,x,s,t,w,n
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,s,t,w,n
e,f,f,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
p,f,s,t,c,n
e,f,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
p,f,y,t,c,n
e,x,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,f,y,t,c,b
p,x,y,t,c,n
e,x,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,b,y,t,c,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
p,f,s,t,c,n
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,f,t,w,n
e,f,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,b,y,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
p,f,y,t,c,n
e,f,s,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
e,f,f,f,w,b
p,x,s,t,c,n
e,x,s,f,w,b
p,x,s,t,c,n
e,x,s,f,w,b
e,f,s,f,w,b
p,f,y,t,c,n
e,x,f,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
p,f,s,t,c,n
e,f,f,f,w,b
e,x,y,t,c,b
e,x,f,f,w,b
e,f,f,f,w,b
e,b,s,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
p,f,s,t,c,n
e,x,s,f,w,b
e,b,y,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,x,f,t,c,b
e,b,y,t,c,b
e,x,f,t,c,b
p,f,y,t,c,n
e,x,s,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,s,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
p,x,y,t,c,n
e,f,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
p,x,s,t,c,n
e,x,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,f,c,n
p,f,s,t,c,n
p,f,s,t,c,n
e,x,f,t,c,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
p,f,y,t,c,n
e,x,f,f,w,b
e,x,f,t,c,b
p,f,s,t,c,n
p,f,s,t,c,n
p,f,s,t,c,n
e,f,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
p,f,s,t,c,n
e,f,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,s,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,s,t,c,b
e,x,s,f,w,b
p,x,y,t,c,n
e,x,f,f,w,b
p,x,s,t,c,n
e,x,y,t,c,b
p,f,s,t,c,n
e,x,y,t,c,b
e,x,y,t,c,b
e,f,y,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,b,s,t,c,b
e,x,s,f,w,b
e,x,s,t,c,b
p,f,y,t,c,n
e,f,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,x,f,t,c,b
e,x,f,f,w,b
e,f,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,b,y,t,c,b
p,f,y,t,c,n
e,x,s,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
p,x,s,t,c,n
e,f,s,f,w,b
e,x,f,f,w,b
p,f,s,t,c,n
e,x,f,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
p,f,s,t,c,n
e,x,f,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,y,t,c,b
p,f,s,t,c,n
e,x,f,f,w,b
e,f,f,f,c,n
p,f,y,t,c,n
e,f,s,f,w,b
e,x,f,f,w,b
e,f,y,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
p,x,s,t,c,n
e,f,s,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
p,f,s,t,c,n
p,f,s,t,c,n
e,x,s,f,w,b
e,x,f,f,c,n
e,f,s,f,w,b
e,x,s,f,w,b
p,f,s,t,c,n
e,b,s,t,c,b
e,x,f,f,w,b
p,f,y,t,c,n
e,x,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
p,f,s,t,c,n
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,f,f,w,b
p,f,y,t,c,n
e,x,f,f,w,b
e,f,s,f,w,b
p,f,y,t,c,n
e,f,s,f,w,b
e,f,y,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,y,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,f,w,b
p,f,s,t,c,n
e,f,f,t,c,b
p,x,s,t,c,n
e,x,s,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
p,x,f,f,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,f,f,w,b
p,x,s,t,c,n
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,f,w,b
e,x,y,t,c,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
p,f,y,t,c,n
e,x,y,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,w,n
e,x,f,t,c,b
p,f,s,t,c,n
e,x,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,f,f,t,c,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,f,f,t,w,n
e,f,f,f,w,b
p,f,y,t,c,n
e,f,f,t,c,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,s,f,w,b
e,f,f,t,c,b
e,x,s,f,w,b
e,f,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,f,w,b
e,f,f,f,w,b
e,f,y,t,c,b
p,f,y,t,c,n
e,f,s,f,w,b
e,f,f,f,w,b
e,f,f,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
p,f,y,t,c,n
e,b,s,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,f,s,t,w,n
e,x,f,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
p,f,s,t,c,n
e,f,f,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
p,x,s,t,c,n
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
p,f,y,t,c,n
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,f,s,f,w,b
e,f,s,f,w,b
e,x,y,t,c,b
e,f,s,f,w,b
e,f,f,t,c,b
e,f,s,f,w,b
e,x,f,f,w,b
e,f,f,f,w,b
p,x,s,t,c,n
e,x,f,t,c,b
e,f,s,f,w,b
p,f,y,t,c,n
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,s,f,w,b
p,f,y,t,c,n
e,x,f,t,c,b
p,f,s,t,c,n
p,f,y,t,c,n
e,x,f,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,f,s,f,w,b
e,f,f,f,w,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
p,f,y,t,c,n
e,x,y,t,c,b
p,f,s,t,c,n
e,f,f,f,w,b
e,f,f,f,w,b
p,f,s,t,c,n
e,x,s,f,w,b
e,x,f,f,w,b
e,x,f,t,c,b
e,f,f,f,w,b
e,x,f,f,w,b
e,f,s,f,w,b
e,f,f,f,w,b
e,f,s,t,w,n
e,f,f,t,w,n
e,f,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,s,f,w,b
e,b,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
e,x,s,f,w,b
e,x,s,f,w,b
e,x,f,f,w,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,f,t,c,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,s,f,w,b
e,f,s,f,w,b
e,f,f,t,c,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,s,t,c,b
e,f,s,f,w,b
p,f,y,t,c,n
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
p,f,s,t,c,n
e,f,s,f,w,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
p,x,s,t,c,n
e,x,s,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
e,x,f,f,w,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,f,t,c,b
e,f,f,f,w,b
e,f,f,f,w,b
e,f,f,f,w,b
e,x,f,t,c,b
e,x,f,t,c,b
p,f,y,t,c,n
e,x,y,t,c,b
e,x,s,f,w,b
e,b,s,t,c,b
e,x,s,f,w,b
e,f,f,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,f,w,b
p,x,s,t,c,n
e,x,s,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
p,x,s,t,c,n
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
p,x,f,f,c,b
p,f,s,t,c,n
e,x,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,y,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
p,f,s,t,c,n
e,f,f,t,c,b
p,x,s,t,c,n
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
p,x,f,f,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,s,f,w,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,s,f,w,b
e,x,f,t,c,b
e,f,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
p,x,s,f,w,n
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,f,w,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,f,f,w,b
p,x,f,f,c,b
e,x,f,t,c,b
e,x,y,t,c,b
p,f,s,t,c,n
e,f,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,f,f,w,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,f,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,f,f,f,w,b
e,f,f,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
p,x,s,f,w,n
e,f,y,t,c,b
e,f,f,t,c,b
p,f,s,t,c,n
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,s,f,w,b
e,x,y,t,c,b
e,x,f,f,w,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,f,y,t,c,b
e,x,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
e,f,f,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
e,f,y,t,c,b
e,x,y,t,c,b
e,f,f,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,y,t,c,b
e,x,f,t,c,b
e,x,f,t,c,b
